Terrain 1,,,,,,,,,,,
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1,7,1,10,8,7,11,4,2,3,2,1
8,14,10,12,14,9,7,10,8,13,12,4
2,2,9,3,11,2,12,6,5,1,8,3
9,11,11,14,13,5,14,12,13,6,11,5
Terrain 2,,,,,,,,,,,
3,3,5,5,2,6,4,3,3,4,9,2
10,12,14,6,7,8,8,9,11,14,10,14
4,8,2,1,4,10,2,5,1,5,4,8
11,10,13,11,5,14,3,11,7,7,6,13
Terrain 3,,,,,,,,,,,
5,1,8,4,1,3,6,1,4,2,1,9
12,9,12,7,12,4,10,14,12,10,5,12
6,4,6,9,3,1,5,7,6,8,3,10
13,13,7,13,6,13,9,13,14,9,7,11
Pause,,,,,,,,,,,
7,5,3,2,9,11,1,2,9,11,13,6
14,6,4,8,10,12,13,8,10,12,14,7
